"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS4791","Richlands","Onslow County","NC","Richlands Police Department","Police","The Richlands Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/12/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4792","Augusta","Richmond County","GA","Richmond County Sheriff's Office","Sheriff","The Richmond County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/12/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4793","Holland","Ottawa County","MI","Holland Police Department","Police","The Holland Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/12/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4794","Elsmere","Kenton County","KY","Elsmere Police Department","Police","The Elsmere Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/19/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4795","Akron","Summit County","OH","Bath Township Police Department","Police","The Bath Township Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/20/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4796","Lake George","Warren County","NY","Warren County Sheriff's Office","Sheriff","The Warren County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/20/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4797","Burlington","Burlington County","NJ","Burlington Police Department","Police","The Burlington Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4798","Grove City","Franklin County","OH","Grove City Police Department","Police","The Grove City Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4799","Swartz Creek","Genesee County","MI","Metro Police Authority of Genesee County","Police","The Metro Police Authority of Genesee County signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4800","Monrovia","Los Angeles County","CA","Monrovia Police Department","Police","The Monrovia Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4801","Mountain Lakes","Morris County","NJ","Mountain Lakes Police Department","Police","The Mountain Lakes Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4802","North Topsail Beach","Onslow County","NC","North Topsail Beach Police Department","Police","The North Topsail Beach Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4803","Port Jervis","Orange County","NY","Port Jervis Police Department","Police","The Port Jervis Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/23/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4804","Dublin","Alameda County","CA","Dublin Police Department","Police","The Dublin Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/24/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4805","Dyer","Lake County","IN","Dyer Police Department","Police","The Dyer Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/24/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4806","Logan","Cache County","UT","Logan City Police Department","Police","The Logan City Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/24/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4807","Hanover Park","Cook County","IL","Hanover Park Police Department","Police","The Hanover Park Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/25/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4808","Clarksville","Montgomery County","TN","Montgomery County Sheriff's Office","Sheriff","The Montgomery County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/25/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4809","Muskego","Waukesha County","WI","Muskego Police Department","Police","The Muskego Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/25/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4810","Marysville","Union County","OH","Union County Sheriff's Office","Sheriff","The Union County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/25/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4811","Athens","Clarke County","GA","Athens-Clarke County Police Department","Police","The Athens- Clarke County Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4812","Bryant","Saline County","AR","Bryant Police Department","Police","The Bryant Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4813","Pleasant Hill","Polk County","IA","Pleasant Hill Police Department","Police","The Pleasant Hill Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4814","Rialto","San Bernardino County","CA","Rialto Police Department","Police","The Rialto Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4815","Sea Isle City","Cape May County","NJ","Sea Isle City Police Department","Police","The Sea Isle City Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4816","Spokane","Spokane County","WA","Spokane Police Department","Police","The Spokane Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4817","Sykesville","Carroll County","MD","Sykesville Police Department","Police","The Sykesville Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4818","Otisville","Orange County","NY","Mount Hope Police Department","Police","The Town of Mount Hope Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/26/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4819","East Lansdowne","Delaware County","PA","East Lansdowne Police Department","Police","The East Lansdowne Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4820","Glassboro","Gloucester County","NJ","Glassboro Police Department","Police","The Glassboro Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4821","Martinsville","Martinsville (city) County","VA","Henry County Sheriff's Office","Sheriff","The Henry County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4822","Hopatcong","Sussex County","NJ","Hopatcong Police Department","Police","The Hopatcong Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4823","Elyria","Lorain County","OH","Lorain County Sheriff's Office","Sheriff","The Lorain County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4824","Nampa","Canyon County","ID","Nampa Police Department","Police","The Nampa Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4825","Jacksonville","Onslow County","NC","Onslow County Sheriff's Office","Sheriff","The Onslow County Sheriff's Office signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","County","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4826","Suffield","Hartford County","CT","Suffield Police Department","Police","The Suffield Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4827","Rochester","Monroe County","NY","Gates Police Department","Police","The Town of Gates Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4828","Suffern","Rockland County","NY","Suffern Police Department","Police","The Village of Suffern Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4829","Whitehall","Franklin County","OH","Whitehall Division of Police","Police","The Whitehall Division of Police signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/27/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4830","Barberton","Summit County","OH","Barberton Police Department","Police","The Barberton Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/30/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4831","Clinton","Anderson County","TN","Clinton Police Department","Police","The Clinton Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/30/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4832","Mount Prospect","Cook County","IL","Mount Prospect Police Department","Police","The Mount Prospect Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/30/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4833","Reidsville","Rockingham County","NC","Reidsville Police Department","Police","The Reidsville Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/30/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4834","Tinley Park","Cook County","IL","Tinley Park Police Department","Police","The Tinley Park Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/30/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4835","Rensselaer","Rensselaer County","NY","East Greenbush Police Department","Police","The Town of East Greenbush Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/30/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4836","Springfield","Sangamon County","IL","Springfield Police Department","Police","The Springfield Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/31/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4837","Talladega","Talladega County","AL","Talladega Police Department","Police","The Talladega Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","3/31/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4838","Maineville","Warren County","OH","Hamilton Township Police Department","Police","The Hamilton Township Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","4/1/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4839","Lancaster","Erie County","NY","Lancaster Police Department","Police","The Lancaster Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","4/1/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4840","Little Falls","Passaic County","NJ","Little Falls Police Department","Police","The Little Falls Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","4/1/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4841","Montgomery","Kendall County, Kane County","IL","Montgomery Police Department","Police","The Montgomery Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","4/1/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
"AOS4842","Danville","","VA","Danville Police Department","Police","The Danville Police Department signed an agreement with Amazon's home surveillance equipment company, Ring, in 2020 to gain special access to the company's Neighbors app.","Municipal","Ring/Neighbors Partnership","Ring","https://www.google.com/maps/d/viewer?mid=1eYVDPh5itXq5acDT9b0BVeQwmESBa4cB&usp=sharing","","Ring","","4/2/2020","https://blog.ring.com/2019/08/28/working-together-for-safer-neighborhoods-introducing-the-neighbors-active-law-enforcement-map/","","Ring","","8/28/2019","","","","","",""
